part_id,check_num,trial_num,success
48410499,20,420,True
48410499,21,440,True
48410499,22,460,True
48410499,23,480,True
21887773,0,20,True
21887773,1,40,True
21887773,2,60,True
21887773,3,80,True
21887773,4,100,True
21887773,5,120,True
21887773,6,140,True
21887773,7,160,True
21887773,8,180,True
21887773,9,200,True
21887773,10,220,True
21887773,11,240,True
21887773,12,260,True
21887773,13,280,True
21887773,14,300,True
21887773,15,320,True
21887773,16,340,True
21887773,17,360,True
21887773,18,380,True
21887773,19,400,True
21887773,20,420,True
21887773,21,440,True
21887773,22,460,True
21887773,23,480,True
23848372,0,20,True
23848372,1,40,True
23848372,2,60,True
23848372,3,80,True
23848372,4,100,True
23848372,5,120,True
23848372,6,140,True
23848372,7,160,True
23848372,8,180,True
23848372,9,200,True
23848372,10,220,True
23848372,11,240,True
23848372,12,260,True
23848372,13,280,True
23848372,14,300,True
23848372,15,320,True
23848372,16,340,True
23848372,17,360,True
23848372,18,380,True
23848372,19,400,True
23848372,20,420,True
23848372,21,440,True
23848372,22,460,True
23848372,23,480,True
11910261,0,20,True
11910261,1,40,True
11910261,2,60,True
11910261,3,80,True
11910261,4,100,True
11910261,5,120,True
11910261,6,140,True
11910261,7,160,True
11910261,8,180,False
11910261,9,200,False
11910261,10,220,True
11910261,11,240,True
11910261,12,260,True
11910261,13,280,False
11910261,14,300,True
11910261,15,320,False
11910261,16,340,False
11910261,17,360,True
11910261,18,380,True
11910261,19,400,True
11910261,20,420,False
11910261,21,440,True
11910261,22,460,True
11910261,23,480,True
15089180,0,20,True
15089180,1,40,True
15089180,2,60,True
15089180,3,80,True
15089180,4,100,True
15089180,5,120,True
15089180,6,140,True
15089180,7,160,True
15089180,8,180,True
15089180,9,200,True
15089180,10,220,True
15089180,11,240,True
15089180,12,260,True
15089180,13,280,True
15089180,14,300,True
15089180,15,320,True
15089180,16,340,True
15089180,17,360,True
15089180,18,380,True
15089180,19,400,True
15089180,20,420,True
15089180,21,440,True
15089180,22,460,True
15089180,23,480,True
28543368,0,20,True
28543368,1,40,True
28543368,2,60,True
28543368,3,80,True
28543368,4,100,True
28543368,5,120,True
28543368,6,140,True
28543368,7,160,True
28543368,8,180,True
28543368,9,200,True
28543368,10,220,True
28543368,11,240,True
28543368,12,260,True
28543368,13,280,True
28543368,14,300,True
28543368,15,320,True
28543368,16,340,True
28543368,17,360,True
28543368,18,380,True
28543368,19,400,True
28543368,20,420,True
28543368,21,440,True
28543368,22,460,True
28543368,23,480,True
32810877,0,20,True
32810877,1,40,True
32810877,2,60,True
32810877,3,80,True
32810877,4,100,True
32810877,5,120,True
32810877,6,140,True
32810877,7,160,True
32810877,8,180,True
32810877,9,200,True
32810877,10,220,True
32810877,11,240,True
32810877,12,260,True
32810877,13,280,True
32810877,14,300,True
32810877,15,320,True
32810877,16,340,True
32810877,17,360,True
32810877,18,380,True
32810877,19,400,True
32810877,20,420,True
32810877,21,440,True
32810877,22,460,True
32810877,23,480,True
30455362,0,20,True
30455362,1,40,True
30455362,2,60,True
30455362,3,80,True
30455362,4,100,True
30455362,5,120,True
30455362,6,140,True
30455362,7,160,True
30455362,8,180,True
30455362,9,200,True
30455362,10,220,True
30455362,11,240,True
30455362,12,260,True
30455362,13,280,True
30455362,14,300,True
30455362,15,320,True
30455362,16,340,True
30455362,17,360,True
30455362,18,380,True
30455362,19,400,True
30455362,20,420,True
30455362,21,440,True
30455362,22,460,True
30455362,23,480,True
10749769,0,20,True
10749769,1,40,True
10749769,2,60,True
10749769,3,80,True
10749769,4,100,True
10749769,5,120,True
10749769,6,140,True
10749769,7,160,True
10749769,8,180,True
10749769,9,200,True
10749769,10,220,True
10749769,11,240,True
10749769,12,260,True
10749769,13,280,True
10749769,14,300,True
10749769,15,320,True
10749769,16,340,True
10749769,17,360,True
10749769,18,380,True
10749769,19,400,True
10749769,20,420,True
10749769,21,440,True
10749769,22,460,True
10749769,23,480,True
42375307,0,20,True
42375307,1,40,True
42375307,2,60,True
42375307,3,80,True
42375307,4,100,True
42375307,5,120,True
42375307,6,140,True
42375307,7,160,True
42375307,8,180,True
42375307,9,200,True
42375307,10,220,True
42375307,11,240,True
42375307,12,260,True
42375307,13,280,True
42375307,14,300,True
42375307,15,320,True
42375307,16,340,True
42375307,17,360,True
42375307,18,380,True
42375307,19,400,True
42375307,20,420,True
42375307,21,440,True
42375307,22,460,False
42375307,23,480,True
13679130,0,20,True
13679130,1,40,True
13679130,2,60,True
13679130,3,80,True
13679130,4,100,True
13679130,5,120,True
13679130,6,140,True
13679130,7,160,True
13679130,8,180,True
13679130,9,200,True
13679130,10,220,True
13679130,11,240,True
13679130,12,260,True
13679130,13,280,True
13679130,14,300,True
13679130,15,320,True
13679130,16,340,True
13679130,17,360,True
13679130,18,380,True
13679130,19,400,True
13679130,20,420,False
13679130,21,440,True
13679130,22,460,True
13679130,23,480,True
13044503,0,20,True
13044503,1,40,True
13044503,2,60,True
13044503,3,80,True
13044503,4,100,True
13044503,5,120,True
13044503,6,140,True
13044503,7,160,True
13044503,8,180,True
13044503,9,200,True
13044503,10,220,True
13044503,11,240,True
13044503,12,260,True
13044503,13,280,True
13044503,14,300,True
13044503,15,320,True
13044503,16,340,True
13044503,17,360,True
13044503,18,380,True
13044503,19,400,True
13044503,20,420,True
13044503,21,440,True
13044503,22,460,True
13044503,23,480,True
28412972,0,20,True
28412972,1,40,True
28412972,2,60,True
28412972,3,80,True
28412972,4,100,True
28412972,5,120,True
28412972,6,140,True
28412972,7,160,True
28412972,8,180,True
28412972,9,200,True
28412972,10,220,True
28412972,11,240,True
28412972,12,260,True
28412972,13,280,True
28412972,14,300,True
28412972,15,320,True
28412972,16,340,True
28412972,17,360,True
28412972,18,380,True
28412972,19,400,True
28412972,20,420,True
28412972,21,440,True
28412972,22,460,True
28412972,23,480,True
29519641,0,20,True
29519641,1,40,True
29519641,2,60,True
29519641,3,80,True
29519641,4,100,True
29519641,5,120,True
29519641,6,140,True
29519641,7,160,True
29519641,8,180,True
29519641,9,200,True
29519641,10,220,True
29519641,11,240,True
29519641,12,260,True
29519641,13,280,True
29519641,14,300,True
29519641,15,320,True
29519641,16,340,True
29519641,17,360,True
29519641,18,380,True
29519641,19,400,True
29519641,20,420,True
29519641,21,440,True
29519641,22,460,True
29519641,23,480,True
77043169,0,20,True
77043169,1,40,True
77043169,2,60,True
77043169,3,80,True
77043169,4,100,True
77043169,5,120,True
77043169,6,140,False
77043169,7,160,True
77043169,8,180,True
77043169,9,200,True
77043169,10,220,True
77043169,11,240,True
77043169,12,260,True
77043169,13,280,True
77043169,14,300,True
77043169,15,320,True
77043169,16,340,False
77043169,17,360,True
77043169,18,380,True
77043169,19,400,True
77043169,20,420,True
77043169,21,440,True
77043169,22,460,True
77043169,23,480,True
16285095,0,20,True
16285095,1,40,True
16285095,2,60,True
16285095,3,80,True
16285095,4,100,True
16285095,5,120,True
16285095,6,140,True
16285095,7,160,True
16285095,8,180,True
16285095,9,200,True
16285095,10,220,True
16285095,11,240,True
16285095,12,260,True
16285095,13,280,True
16285095,14,300,True
16285095,15,320,True
16285095,16,340,True
16285095,17,360,True
16285095,18,380,True
16285095,19,400,True
16285095,20,420,True
16285095,21,440,True
16285095,22,460,True
16285095,23,480,True
21793343,0,20,True
21793343,1,40,True
21793343,2,60,True
21793343,3,80,True
21793343,4,100,True
21793343,5,120,True
21793343,6,140,True
21793343,7,160,True
21793343,8,180,True
21793343,9,200,True
21793343,10,220,True
21793343,11,240,True
21793343,12,260,True
21793343,13,280,True
21793343,14,300,True
21793343,15,320,True
21793343,16,340,True
21793343,17,360,True
21793343,18,380,True
21793343,19,400,True
21793343,20,420,True
21793343,21,440,True
21793343,22,460,True
21793343,23,480,True
12361314,0,20,True
12361314,1,40,True
12361314,2,60,True
12361314,3,80,True
12361314,4,100,True
12361314,5,120,True
12361314,6,140,True
12361314,7,160,True
12361314,8,180,True
12361314,9,200,True
12361314,10,220,True
12361314,11,240,True
12361314,12,260,True
12361314,13,280,True
12361314,14,300,True
12361314,15,320,True
12361314,16,340,True
12361314,17,360,True
12361314,18,380,True
12361314,19,400,True
12361314,20,420,True
12361314,21,440,True
12361314,22,460,True
12361314,23,480,True
26414536,0,20,True
26414536,1,40,True
26414536,2,60,True
26414536,3,80,True
26414536,4,100,True
26414536,5,120,True
26414536,6,140,True
26414536,7,160,True
26414536,8,180,True
26414536,9,200,True
26414536,10,220,True
26414536,11,240,True
26414536,12,260,True
26414536,13,280,True
26414536,14,300,True
26414536,15,320,True
26414536,16,340,True
26414536,17,360,True
26414536,18,380,True
26414536,19,400,True
26414536,20,420,True
26414536,21,440,True
26414536,22,460,True
26414536,23,480,True
11324631,0,20,True
11324631,1,40,True
11324631,2,60,True
11324631,3,80,True
11324631,4,100,True
11324631,5,120,True
11324631,6,140,True
11324631,7,160,True
11324631,8,180,True
11324631,9,200,True
11324631,10,220,True
11324631,11,240,True
11324631,12,260,True
11324631,13,280,True
11324631,14,300,True
11324631,15,320,True
11324631,16,340,True
11324631,17,360,True
11324631,18,380,True
11324631,19,400,True
11324631,20,420,True
11324631,21,440,True
11324631,22,460,True
11324631,23,480,True
22794252,0,20,True
22794252,1,40,False
22794252,2,60,True
22794252,3,80,True
22794252,4,100,True
22794252,5,120,True
22794252,6,140,True
22794252,7,160,False
22794252,8,180,True
22794252,9,200,True
22794252,10,220,True
22794252,11,240,True
22794252,12,260,True
22794252,13,280,True
22794252,14,300,True
22794252,15,320,True
22794252,16,340,True
22794252,17,360,True
22794252,18,380,True
22794252,19,400,True
22794252,20,420,True
22794252,21,440,True
22794252,22,460,True
22794252,23,480,True
26739053,0,20,True
26739053,1,40,True
26739053,2,60,True
26739053,3,80,True
26739053,4,100,True
26739053,5,120,True
26739053,6,140,True
26739053,7,160,True
26739053,8,180,True
26739053,9,200,True
26739053,10,220,False
26739053,11,240,True
26739053,12,260,True
26739053,13,280,True
26739053,14,300,True
26739053,15,320,True
26739053,16,340,True
26739053,17,360,True
26739053,18,380,True
26739053,19,400,True
26739053,20,420,True
26739053,21,440,True
26739053,22,460,True
26739053,23,480,True
25382518,0,20,True
25382518,1,40,True
25382518,2,60,True
25382518,3,80,True
25382518,4,100,True
25382518,5,120,True
25382518,6,140,True
25382518,7,160,True
25382518,8,180,True
25382518,9,200,True
25382518,10,220,True
25382518,11,240,True
25382518,12,260,True
25382518,13,280,True
25382518,14,300,True
25382518,15,320,True
25382518,16,340,True
25382518,17,360,True
25382518,18,380,True
25382518,19,400,True
25382518,20,420,True
25382518,21,440,True
25382518,22,460,True
25382518,23,480,True
31176684,0,20,True
31176684,1,40,True
31176684,2,60,True
31176684,3,80,True
31176684,4,100,True
31176684,5,120,True
31176684,6,140,True
31176684,7,160,True
31176684,8,180,True
31176684,9,200,True
31176684,10,220,True
31176684,11,240,False
31176684,12,260,True
31176684,13,280,True
31176684,14,300,True
31176684,15,320,True
31176684,16,340,True
31176684,17,360,True
31176684,18,380,True
31176684,19,400,True
31176684,20,420,True
31176684,21,440,True
31176684,22,460,True
31176684,23,480,True
19944267,0,20,False
19944267,1,40,True
19944267,2,60,True
19944267,3,80,True
19944267,4,100,True
19944267,5,120,True
19944267,6,140,True
19944267,7,160,True
19944267,8,180,True
19944267,9,200,True
19944267,10,220,True
19944267,11,240,True
19944267,12,260,True
19944267,13,280,True
19944267,14,300,True
19944267,15,320,True
19944267,16,340,True
19944267,17,360,True
19944267,18,380,True
19944267,19,400,True
19944267,20,420,True
19944267,21,440,True
19944267,22,460,True
19944267,23,480,True
16442937,0,20,True
